epoch,accuracy,loss,one_hot_mean_io_u_5,val_accuracy,val_loss,val_one_hot_mean_io_u_5
0,0.4898063540458679,1.8061336278915405,0.085617795586586,0.30468156933784485,39.82518005371094,0.023470228537917137
1,0.5781869292259216,1.3440791368484497,0.1157524585723877,0.30356365442276,11.478899955749512,0.02641195058822632
2,0.6055901050567627,1.2105917930603027,0.13094988465309143,0.5263330936431885,1.4196094274520874,0.11376624554395676
3,0.6257013082504272,1.140523910522461,0.1410840004682541,0.6048352122306824,1.1173914670944214,0.13828663527965546
4,0.6462795734405518,1.0659109354019165,0.15438202023506165,0.5748694539070129,1.3420495986938477,0.12540724873542786
5,0.66995769739151,1.0025568008422852,0.16835476458072662,0.6554591655731201,1.0631210803985596,0.16202566027641296
6,0.6803789138793945,0.9659862518310547,0.17668631672859192,0.5998250246047974,1.2499597072601318,0.15265142917633057
7,0.6938374042510986,0.931218147277832,0.18510618805885315,0.6356792449951172,1.046931505203247,0.1670929193496704
8,0.7030497193336487,0.8954094052314758,0.19072078168392181,0.668013334274292,0.9871035814285278,0.18519094586372375
9,0.707010805606842,0.8808233737945557,0.19613900780677795,0.7046926021575928,0.8984918594360352,0.19853143393993378
10,0.7188154458999634,0.8469133377075195,0.20522186160087585,0.7096012830734253,0.9024889469146729,0.19795680046081543
11,0.7222316265106201,0.828247606754303,0.2109295129776001,0.7063624262809753,0.9128583073616028,0.1991237848997116
12,0.7330363988876343,0.7923649549484253,0.21960048377513885,0.7154339551925659,0.8736447691917419,0.20135398209095
13,0.7432482242584229,0.7626278400421143,0.23370122909545898,0.7254445552825928,0.8552026152610779,0.21277256309986115
14,0.7464981079101562,0.7488105297088623,0.23838944733142853,0.6647924780845642,1.0571208000183105,0.1889125108718872
15,0.7564370036125183,0.7185356616973877,0.24811241030693054,0.6953198313713074,0.9325172901153564,0.1983952522277832
16,0.7642800807952881,0.6928145885467529,0.25585466623306274,0.7219181060791016,0.8591225743293762,0.21711906790733337
17,0.7716794610023499,0.6721302270889282,0.26514536142349243,0.7088940143585205,0.8585120439529419,0.2146962434053421
18,0.7746598124504089,0.6581220030784607,0.27207857370376587,0.7144383192062378,0.9358733296394348,0.2096567451953888
19,0.788081169128418,0.619850218296051,0.28804346919059753,0.7148420810699463,0.8928059339523315,0.22370675206184387
20,0.7944992780685425,0.5998926758766174,0.29597967863082886,0.7495412826538086,0.7845132946968079,0.25131940841674805
21,0.8017796277999878,0.5752508640289307,0.3106447756290436,0.735896110534668,0.7946000695228577,0.24691078066825867
22,0.8071897625923157,0.5632004737854004,0.3127780854701996,0.738612711429596,0.8320538997650146,0.2539198398590088
23,0.812430739402771,0.5473228693008423,0.3289843797683716,0.7290465235710144,0.8225792646408081,0.24472804367542267
24,0.8170524835586548,0.5314489006996155,0.33617839217185974,0.7334287166595459,0.8150253295898438,0.25517863035202026
25,0.8259863257408142,0.50440514087677,0.34866398572921753,0.7232652306556702,0.825702428817749,0.25480321049690247
26,0.8331259489059448,0.4830178916454315,0.36133456230163574,0.7266348600387573,0.8199670910835266,0.2515917718410492
27,0.8352237343788147,0.4768812358379364,0.36320582032203674,0.7298328876495361,0.8404901623725891,0.2601718604564667
28,0.83582603931427,0.47483307123184204,0.3667374551296234,0.7330350875854492,0.8395626544952393,0.2499465048313141
29,0.8395625352859497,0.46194425225257874,0.37539374828338623,0.7079393863677979,0.8763657212257385,0.2611025273799896
30,0.847698450088501,0.43837258219718933,0.38761013746261597,0.7345407009124756,0.8067901134490967,0.2730291187763214
31,0.8563721179962158,0.41581395268440247,0.3970932364463806,0.7375355958938599,0.857187032699585,0.2732524573802948
32,0.8578264117240906,0.4154008626937866,0.4004044532775879,0.698481023311615,0.8731483221054077,0.2587345838546753
33,0.8611950278282166,0.4038648009300232,0.40847310423851013,0.69936203956604,0.9154618382453918,0.25145894289016724
34,0.8672053217887878,0.38761162757873535,0.4101845622062683,0.7225161790847778,0.8821874260902405,0.25881409645080566
35,0.8677024841308594,0.385497123003006,0.415675550699234,0.7300970554351807,0.8650851845741272,0.2640109658241272
36,0.8719799518585205,0.3728678524494171,0.429684579372406,0.7101452946662903,0.9026896953582764,0.26188117265701294
37,0.8788534998893738,0.35399532318115234,0.4382480978965759,0.7198787331581116,0.9453596472740173,0.25914353132247925
38,0.8832066655158997,0.34158855676651,0.4466138482093811,0.7441630959510803,0.8346337080001831,0.2769060730934143
39,0.8860259056091309,0.33342084288597107,0.45402392745018005,0.7133612036705017,0.9131637215614319,0.28236207365989685
40,0.88939368724823,0.32285013794898987,0.45759040117263794,0.708522379398346,0.9612538814544678,0.2705322206020355
41,0.889551043510437,0.3230253756046295,0.45946159958839417,0.7027327418327332,0.9599452614784241,0.2775099575519562
42,0.8950294256210327,0.306686133146286,0.47282153367996216,0.7132833003997803,0.9431405663490295,0.2744554579257965
43,0.8974481821060181,0.3006547689437866,0.4709416925907135,0.6956052780151367,0.9532477855682373,0.2716982960700989
44,0.8989338278770447,0.2979176938533783,0.48399171233177185,0.733079195022583,0.8987655639648438,0.2809528708457947
45,0.9010353684425354,0.28922176361083984,0.4963058829307556,0.7062768936157227,0.961854100227356,0.27744755148887634
