epoch,accuracy,loss,one_hot_mean_io_u_2,val_accuracy,val_loss,val_one_hot_mean_io_u_2
0,0.6900286078453064,1.138034462928772,0.1412154883146286,0.47000375390052795,3.107139825820923,0.0735982358455658
1,0.7582460045814514,0.8407503962516785,0.18874886631965637,0.6052465438842773,1.5061479806900024,0.10541039705276489
2,0.7827202081680298,0.7544299960136414,0.21508128941059113,0.6099364161491394,1.1508100032806396,0.12623544037342072
3,0.7973511219024658,0.7028189897537231,0.2277994155883789,0.7559986114501953,0.7813663482666016,0.19080518186092377
4,0.8127622604370117,0.6433472037315369,0.24197562038898468,0.8171040415763855,0.6231332421302795,0.24835596978664398
5,0.8188103437423706,0.6219897866249084,0.25235515832901,0.8083979487419128,0.6447445750236511,0.22694896161556244
6,0.8236105442047119,0.6025704741477966,0.2611796259880066,0.7987425923347473,0.7031996250152588,0.21918660402297974
7,0.8305670022964478,0.5739172697067261,0.267659991979599,0.8120930790901184,0.6013361811637878,0.242383673787117
8,0.8344197869300842,0.5582887530326843,0.274627685546875,0.8164603114128113,0.6446612477302551,0.23793333768844604
9,0.8383733034133911,0.5459016561508179,0.279629647731781,0.833918571472168,0.5421653389930725,0.25751036405563354
10,0.8429074883460999,0.52679842710495,0.28502732515335083,0.8468882441520691,0.5435725450515747,0.2663073241710663
11,0.8483712077140808,0.5067123770713806,0.2943282723426819,0.8082764744758606,0.5969569683074951,0.25352904200553894
12,0.8519395589828491,0.4959484934806824,0.29924169182777405,0.8369610905647278,0.5563810467720032,0.26364511251449585
13,0.8584594130516052,0.47205233573913574,0.30937460064888,0.8430210947990417,0.5082948803901672,0.28614845871925354
14,0.8610278964042664,0.45760488510131836,0.31698673963546753,0.8294480443000793,0.5468193888664246,0.2612307667732239
15,0.8578275442123413,0.4670448303222656,0.3144797384738922,0.8283945918083191,0.5948718190193176,0.2549954056739807
16,0.8671305775642395,0.4398057162761688,0.32880666851997375,0.8446429371833801,0.5153647065162659,0.2861607074737549
17,0.8684435486793518,0.43440312147140503,0.33338409662246704,0.8333304524421692,0.5217069387435913,0.2588566243648529
